id,content,tags
84,"Interdimensional beings that feed on unused ideas","creativity,interdimensional,parasites"
85,"A character who can manipulate the quantum states of objects","superpowers,quantum physics,reality"
86,"A world where the multiverse is visible and navigable","multiverse,travel,choice"
87,"Technology that can predict the butterfly effect of every action","technology,chaos theory,responsibility"
88,"Aliens who exist in multiple dimensions simultaneously","alien,dimensions,perception"
89,"A planet where reality is consensus-based","reality,society,philosophy"
90,"Time travel through art - stepping into paintings from different eras","time travel,art,history"
91,"A character who can manipulate the flow of time for individuals","superpowers,time,ethics"
92,"A society where dreams are a form of interstellar travel","dreams,space travel,exploration"
93,"Sentient algorithms that control society","artificial intelligence,society,control"
94,"A world where human consciousness can be uploaded to the cloud","technology,consciousness,immortality"
95,"Interdimensional social media connecting parallel universes","social media,multiverse,communication"
96,"A character who can bring abstract concepts to life","superpowers,philosophy,reality"
97,"Aliens who perceive and manipulate dark matter","alien,physics,perception"
98,"A planet where reality changes based on the observer","quantum physics,perception,reality"
99,"Time travel through genetic memory","time travel,biology,ancestry"
100,"A society where imagination directly shapes reality","reality,creativity,responsibility"
